id,parent,level,area,bbox
1,,2,29575,"224,0,413,330"
2,,2,107186,"641,0,852,639"
3,,2,46326,"0,3,293,305"
4,,2,18816,"0,0,209,150"
5,,2,17168,"230,0,535,118"
6,,2,15624,"537,0,712,464"
7,,2,135097,"162,122,745,639"
8,,2,11019,"0,461,146,639"
9,,2,538,"229,0,634,150"
10,,2,994,"66,210,457,639"
36,1,4,13466,"295,0,402,179"
37,1,4,15244,"225,112,411,328"
38,1,4,202,"294,0,402,180"
39,2,4,525,"825,598,851,635"
40,2,4,4738,"787,502,852,639"
41,3,4,303,"128,3,200,85"
42,3,4,7520,"201,5,292,125"
43,3,4,2512,"81,97,159,172"
44,3,4,12648,"0,89,292,305"
45,3,4,22458,"0,40,250,255"
46,4,4,2814,"139,0,208,56"
47,4,4,10376,"0,0,138,117"
48,5,4,1734,"230,0,298,52"
49,5,4,11446,"402,0,516,102"
50,5,4,36,"297,12,516,102"
51,6,4,2688,"537,0,563,131"
52,7,4,40395,"538,137,744,639"
53,7,4,12599,"163,203,397,352"
54,7,4,13558,"406,141,512,313"
55,7,4,34,"195,227,275,352"
56,7,4,5,"239,323,284,342"
57,7,4,4,"487,312,494,314"
58,7,4,60483,"334,169,595,639"
59,10,4,592,"162,212,284,354"
86,36,6,2341,"378,12,401,179"
87,37,6,1706,"261,224,300,328"
88,37,6,3637,"247,125,340,198"
89,42,6,1110,"202,49,233,112"
90,45,6,664,"198,128,245,152"
91,46,6,486,"139,15,159,45"
92,47,6,371,"0,42,12,78"
93,47,6,665,"55,0,102,21"
94,47,6,356,"38,24,61,43"
95,47,6,1272,"0,0,65,37"
96,48,6,857,"230,0,296,15"
97,48,6,844,"254,14,297,51"
98,49,6,1470,"402,0,516,14"
99,51,6,1738,"539,0,563,86"
100,52,6,17565,"550,138,690,410"
101,52,6,541,"539,137,577,156"
102,53,6,639,"163,242,188,292"
103,53,6,695,"353,203,397,241"
104,53,6,755,"333,234,354,279"
105,53,6,594,"352,214,370,259"
106,53,6,2354,"295,230,338,303"
107,53,6,5701,"213,216,284,346"
108,54,6,336,"446,190,467,206"
109,58,6,9733,"335,505,463,639"
110,58,6,5365,"482,552,594,639"
111,58,6,2907,"529,170,566,268"
