id,parent,level,area,bbox
1,,2,72929,"340,0,707,418"
2,,2,49757,"0,80,304,431"
3,,2,26723,"0,180,852,639"
4,,2,21445,"268,0,475,136"
5,,2,0,
6,,2,0,
7,,2,24737,"676,0,852,203"
19,1,4,57168,"349,0,706,258"
20,1,4,91,"361,74,474,135"
21,1,4,14689,"341,138,662,416"
22,2,4,19164,"28,82,251,231"
23,2,4,4796,"167,152,304,288"
24,2,4,8805,"0,233,187,430"
25,2,4,15709,"0,90,146,272"
26,3,4,18321,"626,183,852,639"
27,3,4,7941,"0,499,158,639"
28,7,4,3155,"733,0,852,44"
29,7,4,504,"676,82,702,150"
45,19,6,7533,"364,76,475,200"
46,19,6,2797,"350,142,439,233"
47,21,6,2041,"625,165,662,311"
48,21,6,2429,"462,296,487,416"
49,21,6,1523,"341,176,356,297"
50,21,6,9,"625,221,639,307"
51,22,6,3852,"118,130,225,216"
52,23,6,1996,"246,153,304,287"
53,24,6,3096,"105,307,187,429"
54,26,6,1534,"816,184,852,260"
55,27,6,1203,"93,607,157,639"
56,28,6,379,"733,0,761,14"
57,29,6,474,"677,86,702,150"
