id,parent,level,area,bbox
1,,2,29344,"241,0,427,331"
2,,2,118892,"552,0,852,639"
3,,2,46144,"0,26,312,315"
4,,2,13526,"0,463,458,639"
5,,2,20005,"254,0,559,131"
6,,2,23253,"0,0,231,166"
7,,2,127448,"180,134,784,639"
8,,2,5127,"310,135,643,639"
9,,2,31156,"0,251,216,475"
41,1,4,14083,"313,0,418,191"
42,1,4,9398,"246,125,391,228"
43,1,4,4902,"243,125,425,329"
44,1,4,226,"313,0,418,192"
45,1,4,394,"252,184,426,330"
46,2,4,17526,"553,0,688,169"
47,2,4,19123,"673,0,793,302"
48,2,4,4221,"791,520,852,639"
49,2,4,56531,"656,167,852,639"
50,3,4,6578,"228,26,311,138"
51,3,4,25614,"0,54,256,267"
52,4,4,12835,"0,464,98,639"
53,5,4,2598,"254,0,318,64"
54,5,4,12976,"414,0,534,116"
55,5,4,231,"414,0,535,118"
56,6,4,5716,"0,63,161,165"
57,6,4,14616,"0,0,163,135"
58,6,4,2584,"163,11,231,68"
59,7,4,39205,"549,151,751,639"
60,7,4,65,"439,138,730,533"
61,7,4,3683,"311,214,409,306"
62,7,4,8084,"181,222,356,357"
63,7,4,10669,"429,183,524,326"
64,7,4,28768,"337,435,598,639"
65,7,4,28745,"341,184,598,631"
66,8,4,1647,"427,169,640,639"
67,8,4,2237,"421,159,524,183"
68,8,4,331,"528,169,641,632"
69,8,4,506,"319,191,464,635"
70,9,4,8279,"63,251,193,403"
71,9,4,4606,"96,270,164,365"
108,41,6,2346,"393,32,418,190"
109,42,6,3271,"265,136,351,205"
110,42,6,537,"247,195,278,220"
111,46,6,2735,"572,109,649,147"
112,46,6,1868,"557,0,581,101"
113,46,6,798,"554,101,573,145"
114,46,6,546,"639,131,661,168"
115,46,6,2715,"646,0,688,133"
116,46,6,8428,"576,0,664,109"
117,47,6,2636,"706,0,770,95"
118,47,6,1941,"754,0,793,97"
119,47,6,9792,"674,15,762,285"
120,48,6,448,"829,607,852,639"
121,49,6,644,"756,167,791,188"
122,50,6,1178,"258,31,285,131"
123,51,6,1578,"107,132,168,180"
124,53,6,873,"273,28,318,62"
125,57,6,1555,"0,37,40,88"
126,57,6,354,"66,37,89,56"
127,57,6,2304,"0,0,82,34"
128,61,6,454,"368,225,385,257"
129,61,6,519,"383,214,409,245"
130,61,6,569,"349,246,368,284"
131,61,6,384,"313,241,350,255"
132,61,6,12,"382,215,409,247"
133,61,6,1656,"311,255,351,306"
134,62,6,792,"181,245,207,301"
135,63,6,1124,"497,267,519,325"
136,64,6,3569,"338,584,439,639"
137,64,6,94,"338,568,460,639"
138,64,6,1266,"454,436,507,479"
139,65,6,2872,"508,304,534,486"
140,65,6,2646,"541,184,576,305"
141,67,6,2074,"422,159,523,182"
142,70,6,3571,"149,251,192,399"
143,71,6,2799,"106,300,164,364"
