id,parent,level,area,bbox
1,,2,65506,"446,0,852,254"
2,,2,25370,"0,335,852,639"
3,,2,18770,"381,0,609,112"
4,,2,2241,"126,0,295,56"
5,,2,476,"126,0,374,57"
6,,2,68973,"0,0,399,399"
7,,2,16793,"439,5,802,416"
8,,2,317920,"0,4,852,639"
28,1,4,8482,"477,55,608,185"
29,2,4,9326,"726,445,852,639"
30,2,4,15493,"0,336,264,639"
31,3,4,6083,"502,0,609,71"
32,3,4,12386,"382,0,522,111"
33,4,4,1075,"127,0,229,54"
34,5,4,330,"360,0,374,26"
35,6,4,15569,"45,130,397,398"
36,6,4,7,"54,169,272,398"
37,6,4,293,"358,117,399,266"
38,6,4,15597,"157,46,348,189"
39,6,4,35532,"0,0,357,236"
40,7,4,15493,"441,54,799,414"
41,8,4,282375,"0,90,852,639"
42,8,4,811,"825,113,851,161"
43,8,4,14999,"703,152,851,354"
44,8,4,2013,"727,441,851,639"
45,8,4,395,"678,224,760,309"
46,8,4,113,"0,406,821,636"
71,28,6,2869,"479,97,559,184"
72,29,6,5325,"727,539,830,639"
73,29,6,3491,"794,448,852,556"
74,30,6,3627,"170,566,263,639"
75,31,6,2023,"502,0,557,70"
76,31,6,379,"592,16,609,49"
77,31,6,2656,"528,0,588,56"
78,31,6,866,"526,0,601,71"
79,32,6,2558,"396,0,454,79"
80,32,6,6380,"416,0,519,101"
81,32,6,685,"405,0,426,42"
82,33,6,741,"163,0,228,34"
83,33,6,279,"127,6,194,50"
84,35,6,2583,"47,167,120,304"
85,35,6,3913,"192,245,275,397"
86,35,6,1432,"362,142,397,264"
87,39,6,2503,"242,108,356,200"
88,40,6,1811,"741,180,794,318"
89,40,6,2464,"555,280,590,414"
90,41,6,21391,"0,409,186,639"
91,41,6,18,"134,625,183,639"
92,41,6,3850,"0,174,62,271"
93,43,6,2499,"704,225,758,307"
94,45,6,335,"678,253,699,282"
