id,parent,level,area,bbox
1,,2,93388,"180,52,550,617"
2,,2,17602,"0,397,177,639"
3,,2,40423,"0,0,360,175"
4,,2,39339,"716,0,852,549"
5,,2,305,"621,0,852,552"
6,,2,15671,"285,0,495,204"
7,,2,186277,"0,37,698,639"
8,,2,42173,"0,112,278,339"
22,1,4,44905,"344,53,550,466"
23,1,4,11936,"182,379,494,616"
24,1,4,10405,"181,279,541,504"
25,1,4,23568,"198,212,399,414"
26,1,4,87,"332,415,346,451"
27,3,4,1512,"0,88,62,118"
28,6,4,11988,"305,0,494,105"
29,7,4,45422,"0,252,241,639"
30,7,4,8201,"422,39,582,199"
31,7,4,93316,"242,40,696,639"
32,7,4,7734,"275,78,410,230"
33,8,4,11341,"131,113,278,270"
34,8,4,10548,"0,169,105,318"
54,23,6,2749,"404,496,447,616"
55,23,6,2382,"186,390,242,528"
56,24,6,5687,"182,356,344,452"
57,25,6,1549,"205,247,289,334"
58,28,6,2078,"328,0,390,56"
59,30,6,2242,"552,39,580,138"
60,30,6,3819,"422,68,481,175"
61,30,6,799,"497,48,528,86"
62,30,6,1082,"546,53,573,198"
63,30,6,29,"440,68,481,124"
64,30,6,40,"422,103,439,175"
65,30,6,27,"546,142,570,198"
66,31,6,1448,"323,489,406,572"
67,31,6,1159,"581,64,601,194"
68,31,6,25235,"424,379,572,639"
69,31,6,432,"616,411,673,457"
70,32,6,3569,"294,78,343,205"
71,32,6,1959,"324,96,360,204"
72,34,6,1311,"32,220,70,279"
