id,parent,level,area,bbox
1,,2,81215,"411,0,827,458"
2,,2,21691,"0,405,852,639"
3,,2,64551,"0,48,371,450"
4,,2,0,
5,,2,27085,"349,0,566,165"
6,,2,5563,"17,0,177,114"
7,,2,2997,"647,0,835,154"
8,,2,293154,"0,9,852,639"
9,,2,5524,"0,494,852,639"
27,1,4,8013,"440,111,566,238"
28,1,4,14912,"411,181,747,458"
29,1,4,57048,"423,0,827,299"
30,2,4,10357,"721,407,852,639"
31,2,4,10850,"0,426,192,639"
32,3,4,13781,"24,186,368,449"
33,3,4,422,"326,181,371,314"
34,3,4,42,"82,289,250,449"
35,3,4,30196,"0,50,227,293"
36,3,4,15467,"123,105,331,247"
37,5,4,8441,"461,0,565,128"
38,7,4,1546,"647,0,740,29"
39,8,4,7510,"772,76,852,242"
40,8,4,912,"807,509,851,635"
41,8,4,263881,"0,23,851,639"
42,9,4,4302,"780,501,852,639"
43,9,4,590,"0,496,121,639"
63,28,6,2276,"699,218,747,359"
64,28,6,2722,"524,321,559,457"
65,28,6,1683,"411,192,429,326"
66,28,6,2853,"417,185,529,322"
67,29,6,3113,"424,168,514,272"
68,30,6,6581,"763,412,852,589"
69,32,6,3342,"255,186,368,312"
70,32,6,2909,"179,315,250,448"
71,32,6,1676,"42,265,93,358"
72,32,6,457,"29,237,87,358"
73,36,6,3735,"204,153,306,240"
74,37,6,3493,"462,0,519,127"
75,39,6,2454,"807,77,852,148"
76,41,6,1792,"665,278,709,347"
77,41,6,652,"649,294,674,335"
78,41,6,7515,"0,503,114,639"
79,41,6,1684,"290,105,349,159"
80,42,6,2502,"780,582,845,639"
