id,parent,level,area,bbox
1,,2,85629,"448,0,852,435"
2,,2,23175,"0,322,852,639"
3,,2,3002,"0,78,53,180"
4,,2,2181,"142,0,390,58"
5,,2,0,
6,,2,70639,"0,0,408,407"
7,,2,304254,"0,0,852,639"
8,,2,22345,"397,0,626,129"
9,,2,897,"12,0,359,156"
22,1,4,9203,"491,72,633,207"
23,1,4,16901,"449,133,814,434"
24,1,4,54564,"553,0,852,274"
25,2,4,7128,"745,484,852,639"
26,2,4,15518,"0,323,254,639"
27,4,4,740,"300,0,390,38"
28,4,4,992,"181,0,265,40"
29,6,4,14728,"62,141,406,406"
30,6,4,304,"373,132,407,278"
31,6,4,34891,"0,0,266,246"
32,6,4,15936,"169,54,365,206"
33,9,4,740,"160,0,187,65"
50,23,6,1967,"748,232,802,343"
51,23,6,2051,"449,135,481,294"
52,23,6,3651,"558,285,611,434"
53,23,6,4,"462,228,467,272"
54,23,6,319,"779,190,812,242"
55,25,6,3601,"746,569,832,639"
56,26,6,3088,"170,574,252,639"
57,27,6,488,"375,0,390,38"
58,28,6,515,"181,13,223,40"
59,29,6,3963,"290,143,406,276"
60,29,6,2,"401,276,403,276"
61,29,6,1779,"79,209,131,307"
62,29,6,440,"63,172,126,304"
63,29,6,3039,"212,249,281,406"
64,32,6,4302,"242,104,359,197"
