id,parent,level,area,bbox
1,,2,67219,"402,0,775,370"
2,,2,64123,"0,0,363,374"
3,,2,11412,"328,0,553,84"
4,,2,33414,"0,291,852,639"
5,,2,353149,"0,0,852,639"
6,,2,0,
23,1,4,16274,"402,82,742,369"
24,1,4,11358,"414,14,550,176"
25,1,4,38847,"414,0,774,203"
26,2,4,17760,"102,24,312,172"
27,2,4,11720,"0,152,249,373"
28,2,4,1883,"317,96,363,237"
29,2,4,356,"62,0,111,35"
30,2,4,6,"99,33,112,35"
31,3,4,2269,"451,0,553,37"
32,4,4,16645,"654,293,852,639"
33,4,4,16123,"0,365,297,639"
34,5,4,7484,"764,0,852,139"
35,5,4,17800,"718,389,852,639"
36,5,4,134140,"415,116,851,639"
37,5,4,5051,"131,0,322,58"
38,5,4,99980,"0,362,851,639"
64,23,6,1904,"693,146,735,266"
65,23,6,1514,"402,127,416,247"
66,23,6,2826,"521,237,554,369"
67,23,6,158,"726,114,741,148"
68,24,6,2975,"415,77,503,172"
69,24,6,2559,"430,59,512,138"
70,26,6,2840,"203,75,311,172"
71,26,6,7901,"120,29,256,131"
72,27,6,2100,"9,168,85,292"
73,27,6,3600,"168,228,248,372"
74,28,6,1771,"319,98,363,237"
75,31,6,1143,"451,0,504,37"
76,31,6,744,"480,0,525,21"
77,33,6,5933,"160,539,296,639"
78,34,6,888,"765,43,805,112"
79,34,6,1841,"811,0,852,57"
80,35,6,3786,"798,391,851,516"
81,35,6,103,"797,390,851,639"
82,36,6,2091,"768,318,826,384"
83,36,6,634,"634,198,656,246"
84,36,6,1106,"645,191,676,259"
85,36,6,2252,"660,174,704,266"
86,37,6,491,"262,0,288,49"
87,37,6,1204,"274,5,321,40"
88,38,6,3969,"92,581,211,639"
