id,parent,level,area,bbox
1,,2,100380,"83,171,482,639"
2,,2,25798,"260,0,450,277"
3,,2,48784,"0,0,329,270"
4,,2,79690,"689,0,852,639"
5,,2,11150,"327,0,583,79"
6,,2,124861,"0,127,621,639"
7,,2,15769,"0,0,228,119"
8,,2,34924,"0,198,235,428"
9,,2,11976,"582,0,852,639"
10,,2,49640,"336,95,777,639"
37,1,4,58392,"228,172,455,587"
38,1,4,16635,"105,313,281,523"
39,2,4,9567,"331,0,440,141"
40,2,4,10444,"262,72,414,181"
41,3,4,34368,"0,0,328,222"
42,3,4,14,"321,2,329,38"
43,3,4,13866,"0,47,327,270"
44,4,4,3030,"803,535,852,639"
45,5,4,10559,"328,0,580,78"
46,5,4,225,"557,0,581,79"
47,5,4,2,"443,60,444,62"
48,6,4,22710,"0,421,286,639"
49,6,4,87923,"338,130,619,639"
50,6,4,198,"453,129,554,262"
51,6,4,3262,"331,165,428,259"
52,6,4,7330,"202,177,372,309"
53,6,4,36,"2,438,454,639"
54,6,4,30,"452,131,604,263"
55,7,4,8700,"0,0,225,79"
56,8,4,5098,"114,220,185,318"
57,8,4,8628,"80,200,214,356"
58,10,4,44686,"579,102,776,639"
59,10,4,738,"459,128,622,639"
60,10,4,3650,"445,96,575,129"
61,10,4,46,"579,101,768,588"
88,38,6,5051,"106,436,226,522"
89,39,6,2481,"415,0,440,140"
90,40,6,614,"263,143,294,173"
91,41,6,1635,"120,76,177,127"
92,41,6,748,"286,0,306,72"
93,41,6,694,"180,58,202,98"
94,41,6,1488,"242,0,275,75"
95,44,6,822,"817,536,852,608"
96,44,6,2107,"804,564,852,639"
97,45,6,1587,"444,63,562,78"
98,45,6,1064,"561,0,579,77"
99,48,6,4356,"150,574,284,639"
100,48,6,16594,"0,421,141,639"
101,48,6,1311,"0,598,53,639"
102,49,6,826,"558,152,574,269"
103,49,6,17109,"454,131,603,283"
104,49,6,900,"459,270,469,372"
105,51,6,332,"393,165,428,198"
106,51,6,1582,"331,207,374,258"
107,55,6,505,"178,0,223,14"
108,55,6,1053,"0,19,34,78"
109,56,6,1216,"115,240,157,283"
110,56,6,917,"136,220,179,252"
111,56,6,2749,"128,253,184,316"
112,58,6,18457,"607,105,729,438"
