id,parent,level,area,bbox
1,,2,15478,"514,0,704,204"
2,,2,88261,"364,66,835,513"
3,,2,196922,"0,5,852,639"
4,,2,75168,"0,0,578,194"
5,,2,48044,"0,351,330,578"
6,,2,4607,"0,161,410,634"
27,1,4,8445,"518,0,700,78"
28,2,4,41577,"527,67,834,498"
29,2,4,37698,"380,210,665,434"
30,3,4,12344,"700,30,852,197"
31,3,4,445,"477,69,667,169"
32,3,4,508,"742,5,849,38"
33,3,4,9761,"452,112,703,242"
34,3,4,69610,"608,66,852,639"
35,3,4,98360,"0,180,575,639"
36,3,4,6,"476,159,579,192"
37,4,4,5973,"401,0,548,70"
38,4,4,2283,"189,68,292,102"
39,4,4,42960,"0,0,510,132"
40,5,4,25532,"0,370,186,562"
41,5,4,1047,"240,386,330,517"
42,6,4,2988,"0,162,268,316"
67,29,6,2873,"510,210,664,264"
68,29,6,2625,"390,220,509,328"
69,29,6,6959,"382,325,557,434"
70,30,6,1802,"735,61,775,134"
71,30,6,1354,"701,134,732,197"
72,30,6,555,"727,136,755,169"
73,30,6,307,"725,31,755,42"
74,32,6,472,"759,5,816,18"
75,33,6,4748,"567,181,702,241"
76,33,6,4399,"458,162,541,240"
77,33,6,454,"452,115,464,178"
78,34,6,526,"797,474,852,510"
79,35,6,27164,"381,442,574,639"
80,37,6,3021,"405,15,483,69"
81,37,6,550,"405,14,515,69"
82,37,6,355,"401,0,432,23"
83,38,6,331,"241,72,259,92"
84,39,6,1305,"305,22,346,71"
85,39,6,882,"11,0,52,30"
86,39,6,811,"65,72,103,99"
87,40,6,502,"53,373,86,391"
88,42,6,1371,"0,162,34,218"
89,42,6,472,"173,174,197,203"
