id,parent,level,area,bbox
1,,2,80063,"178,0,571,411"
2,,2,40720,"708,0,852,555"
3,,2,18628,"0,346,172,639"
4,,2,22626,"626,0,748,639"
5,,2,204525,"0,0,699,639"
6,,2,65229,"0,0,279,289"
7,,2,58343,"486,0,851,639"
26,1,4,42126,"351,0,570,409"
27,1,4,29144,"195,149,421,356"
28,1,4,427,"522,288,537,347"
29,2,4,13863,"755,0,852,273"
30,3,4,7281,"0,364,83,639"
31,3,4,3099,"35,360,172,493"
32,4,4,4540,"691,534,747,639"
33,5,4,65367,"539,0,697,639"
34,5,4,125448,"0,260,581,639"
35,5,4,618,"446,2,698,639"
36,5,4,7908,"250,21,344,180"
37,6,4,8629,"0,0,205,71"
38,6,4,7520,"0,109,83,262"
39,6,4,11683,"115,51,257,212"
40,6,4,11662,"0,0,276,117"
41,7,4,544,"486,0,525,24"
42,7,4,10162,"735,539,851,639"
43,7,4,46718,"649,0,845,547"
58,27,6,2551,"197,162,310,279"
59,27,6,1815,"312,149,420,181"
60,29,6,855,"791,0,839,107"
61,29,6,3930,"756,0,831,97"
62,30,6,1468,"0,566,32,639"
63,31,6,2529,"76,392,172,493"
64,32,6,2298,"691,535,736,611"
65,34,6,1914,"304,604,390,639"
66,36,6,388,"250,94,267,134"
67,36,6,1665,"262,123,313,179"
68,37,6,1019,"0,16,45,43"
69,38,6,949,"0,179,36,238"
70,39,6,1501,"144,75,206,111"
71,43,6,15332,"651,0,763,228"
