id,parent,level,area,bbox
1,,2,90786,"204,0,583,483"
2,,2,0,
3,,2,21063,"0,160,194,536"
4,,2,29937,"125,0,364,176"
5,,2,0,
6,,2,4237,"0,0,135,95"
7,,2,319895,"0,0,852,639"
8,,2,12816,"776,0,852,639"
25,1,4,16502,"205,194,556,482"
26,1,4,6691,"227,129,319,259"
27,1,4,66217,"213,0,582,323"
28,1,4,86,"213,191,306,298"
29,3,4,18138,"0,161,192,370"
30,4,4,3141,"294,0,363,92"
31,4,4,7245,"126,0,207,147"
32,4,4,4366,"240,0,326,127"
33,6,4,3990,"0,0,135,94"
34,7,4,2189,"597,19,746,176"
35,7,4,651,"583,0,605,125"
36,7,4,421,"720,49,769,176"
37,7,4,199466,"0,58,695,639"
38,7,4,7,"590,389,673,619"
39,8,4,11896,"777,0,852,639"
40,8,4,243,"814,608,852,639"
59,25,6,2787,"351,360,390,482"
60,25,6,1595,"538,233,555,343"
61,25,6,2220,"206,199,251,358"
62,26,6,705,"242,130,318,172"
63,27,6,3668,"214,191,310,298"
64,29,6,2482,"111,216,192,352"
65,29,6,4496,"0,169,82,287"
66,30,6,1897,"334,0,363,89"
67,30,6,1119,"295,0,337,45"
68,32,6,4023,"241,0,324,126"
69,33,6,1515,"85,0,135,93"
70,33,6,655,"37,0,62,48"
71,33,6,1066,"0,7,45,94"
72,34,6,463,"705,40,727,71"
73,35,6,357,"583,62,596,124"
74,36,6,399,"721,49,769,173"
75,37,6,317,"564,142,590,167"
76,37,6,327,"605,150,670,174"
