id,parent,level,area,bbox
1,,2,96459,"146,0,528,535"
2,,2,0,
3,,2,6532,"325,0,568,140"
4,,2,8148,"0,237,143,614"
5,,2,30762,"635,5,852,639"
6,,2,305263,"0,5,841,639"
7,,2,44410,"0,0,317,219"
23,1,4,66730,"256,0,527,378"
24,1,4,10663,"161,177,263,354"
25,1,4,17188,"147,231,513,534"
26,3,4,2118,"530,0,568,140"
27,3,4,4114,"326,0,481,82"
28,4,4,7677,"0,237,142,408"
29,5,4,417,"635,604,686,635"
30,5,4,9891,"764,475,852,639"
31,6,4,57770,"642,7,837,639"
32,6,4,22203,"518,7,792,635"
33,6,4,830,"566,17,691,194"
34,7,4,11323,"128,64,280,202"
35,7,4,8275,"0,0,261,47"
36,7,4,5664,"178,12,275,170"
55,24,6,2973,"161,263,260,352"
56,25,6,3338,"297,397,356,534"
57,25,6,2929,"148,242,204,409"
58,26,6,439,"530,0,558,18"
59,27,6,2555,"379,0,480,44"
60,27,6,850,"357,0,370,74"
61,27,6,675,"326,0,343,82"
62,28,6,2762,"52,280,142,408"
63,28,6,584,"0,238,16,285"
64,30,6,2032,"764,555,797,639"
65,30,6,601,"788,477,851,561"
66,31,6,455,"643,610,674,629"
67,32,6,592,"573,36,593,72"
68,32,6,2915,"649,24,716,191"
69,32,6,2237,"705,29,746,136"
70,34,6,3161,"218,65,280,136"
71,34,6,13,"218,64,262,77"
72,36,6,5211,"179,20,274,169"
