id,parent,level,area,bbox
1,,2,94178,"263,18,678,591"
2,,2,42165,"0,352,243,639"
3,,2,45069,"0,0,415,157"
4,,2,10914,"388,0,571,172"
5,,2,39366,"67,83,344,294"
6,,2,220368,"0,3,773,639"
7,,2,69030,"714,0,852,639"
26,1,4,38238,"431,19,678,444"
27,1,4,32011,"280,177,527,390"
28,1,4,15392,"264,278,624,591"
29,1,4,6026,"271,320,442,428"
30,2,4,2733,"130,373,243,505"
31,2,4,26056,"0,353,148,570"
32,2,4,6957,"0,566,116,639"
33,3,4,25653,"0,0,366,113"
34,3,4,18657,"0,0,413,157"
35,4,4,4901,"391,0,553,48"
36,5,4,9833,"68,137,176,273"
37,5,4,12788,"218,84,343,232"
38,6,4,64344,"615,7,771,639"
39,6,4,58074,"0,212,308,639"
40,6,4,676,"522,7,720,639"
41,6,4,60984,"98,385,646,639"
42,6,4,22928,"336,33,558,209"
71,26,6,355,"516,198,541,232"
72,27,6,2330,"288,189,398,300"
73,28,6,1666,"274,388,309,491"
74,28,6,2667,"487,478,516,591"
75,28,6,179,"265,338,298,421"
76,30,6,2591,"138,376,242,504"
77,30,6,53,"179,432,243,504"
78,30,6,4,"240,489,243,500"
79,31,6,5548,"49,374,148,568"
80,32,6,2451,"49,574,115,639"
81,33,6,1445,"84,46,159,71"
82,33,6,894,"264,0,299,33"
83,33,6,702,"59,46,159,76"
84,33,6,3228,"0,0,179,25"
85,33,6,1477,"286,0,364,36"
86,33,6,22,"58,54,66,77"
87,35,6,624,"415,0,469,15"
88,36,6,1679,"101,171,142,238"
89,36,6,1967,"69,153,120,241"
90,36,6,5293,"97,138,176,272"
91,37,6,2377,"251,127,299,190"
92,38,6,683,"682,396,749,445"
93,42,6,1991,"451,77,475,172"
94,42,6,3868,"484,34,557,101"
95,42,6,1643,"490,156,555,190"
96,42,6,374,"492,117,514,135"
97,42,6,5710,"362,45,426,157"
98,42,6,47,"361,45,424,85"
