id,parent,level,area,bbox
1,,2,95605,"54,174,448,639"
2,,2,106638,"650,0,852,639"
3,,2,43391,"0,0,298,261"
4,,2,12517,"290,0,547,90"
5,,2,30015,"0,16,233,424"
6,,2,26452,"228,0,430,270"
7,,2,13034,"547,0,852,639"
8,,2,119934,"0,106,581,639"
9,,2,46222,"170,92,733,639"
34,1,4,55290,"199,175,418,573"
35,1,4,14271,"81,310,247,518"
36,1,4,14721,"56,371,436,639"
37,2,4,6479,"765,0,852,81"
38,2,4,1318,"706,174,746,284"
39,2,4,14028,"749,409,852,639"
40,3,4,24455,"0,6,250,211"
41,3,4,5922,"216,0,298,98"
42,4,4,8633,"410,0,527,75"
43,5,4,10508,"51,199,203,355"
44,5,4,1063,"180,161,232,237"
45,5,4,14795,"0,249,151,423"
46,6,4,10046,"303,0,407,147"
47,6,4,10176,"230,80,382,183"
48,6,4,5447,"233,132,428,268"
49,7,4,12299,"548,0,672,128"
50,8,4,18873,"0,426,266,639"
51,8,4,15249,"414,109,523,288"
52,8,4,7006,"414,109,569,289"
53,8,4,140,"414,108,538,127"
54,8,4,8033,"173,182,341,309"
55,8,4,66705,"305,143,580,639"
56,9,4,43210,"504,105,732,639"
57,9,4,2355,"410,93,545,130"
93,35,6,8676,"101,314,241,471"
94,35,6,4712,"82,435,196,514"
95,36,6,2029,"69,518,132,629"
96,36,6,132,"60,480,126,609"
97,37,6,1127,"768,4,798,78"
98,37,6,1011,"829,0,852,80"
99,37,6,3804,"781,0,845,80"
100,38,6,490,"723,186,741,234"
101,40,6,585,"206,92,247,116"
102,40,6,1241,"104,81,152,122"
103,40,6,1410,"151,60,177,145"
104,41,6,1004,"253,0,277,82"
105,41,6,1134,"216,6,243,81"
106,42,6,1225,"410,0,426,73"
107,43,6,537,"185,270,203,323"
108,43,6,998,"101,220,146,255"
109,43,6,3613,"135,200,184,338"
110,44,6,420,"181,180,206,235"
111,44,6,618,"215,161,232,235"
112,45,6,868,"89,249,123,285"
113,45,6,1964,"99,261,151,315"
114,45,6,23,"89,261,149,316"
115,46,6,2419,"313,0,407,146"
116,47,6,636,"231,148,264,177"
117,48,6,1601,"244,177,300,267"
118,49,6,1988,"549,0,574,104"
119,49,6,3298,"567,68,652,126"
120,50,6,5750,"118,564,265,639"
121,50,6,12506,"0,426,118,639"
122,51,6,999,"462,164,481,222"
123,54,6,544,"173,202,196,255"
124,54,6,1563,"302,195,341,249"
125,54,6,5106,"214,183,282,308"
126,55,6,2146,"502,298,526,440"
127,55,6,10707,"306,540,453,639"
