id,parent,level,area,bbox
1,,2,30993,"0,139,225,505"
2,,2,82965,"242,0,608,459"
3,,2,0,
4,,2,339547,"0,0,852,639"
5,,2,26627,"173,0,388,166"
18,1,4,2314,"149,204,224,336"
19,1,4,12234,"0,140,127,289"
20,1,4,5567,"0,140,145,341"
21,2,4,55925,"345,0,607,300"
22,2,4,15293,"244,180,582,459"
23,2,4,33,"561,235,580,329"
24,2,4,10276,"248,115,359,275"
25,2,4,765,"244,2,605,302"
26,4,4,49296,"656,66,852,639"
27,4,4,342,"633,13,851,633"
28,4,4,212847,"0,97,699,639"
29,4,4,16147,"630,5,779,182"
45,18,6,2183,"149,205,224,335"
46,19,6,5246,"0,141,73,257"
47,20,6,1426,"0,283,38,341"
48,22,6,2521,"384,337,418,459"
49,22,6,1571,"561,216,580,328"
50,22,6,1950,"245,203,279,340"
51,24,6,2754,"251,178,344,272"
52,24,6,2585,"292,118,357,190"
53,28,6,3259,"240,434,325,486"
54,28,6,1127,"511,250,555,302"
55,29,6,405,"664,121,686,142"
56,29,6,309,"654,6,674,23"
57,29,6,341,"641,82,656,116"
58,29,6,964,"689,48,719,93"
59,29,6,358,"757,6,778,25"
