id,parent,level,area,bbox
1,,2,19004,"253,0,443,211"
2,,2,70377,"110,93,463,490"
3,,2,162410,"0,74,599,639"
4,,2,24063,"89,108,467,639"
5,,2,52071,"0,0,322,323"
6,,2,3654,"443,0,580,30"
7,,2,0,
8,,2,84751,"683,0,852,639"
28,1,4,10057,"260,5,413,112"
29,1,4,4011,"273,72,443,209"
30,1,4,3018,"331,0,442,83"
31,2,4,51463,"242,95,462,489"
32,2,4,17605,"111,234,292,433"
33,3,4,8093,"219,106,355,238"
34,3,4,30479,"0,346,154,639"
35,3,4,15050,"451,76,569,241"
36,3,4,82257,"338,83,597,639"
37,3,4,21558,"117,472,325,639"
38,3,4,66,"451,75,595,205"
39,4,4,1301,"449,333,467,443"
40,5,4,11245,"74,123,222,283"
41,5,4,3754,"0,157,134,322"
42,5,4,24028,"0,0,307,136"
43,8,4,9362,"757,480,852,639"
44,8,4,13903,"686,0,808,210"
45,8,4,1709,"815,0,852,87"
46,8,4,36612,"737,26,852,496"
71,28,6,439,"260,81,290,105"
72,28,6,1757,"334,5,412,58"
73,28,6,3243,"284,11,367,82"
74,29,6,2212,"315,73,443,129"
75,29,6,1608,"280,110,324,208"
76,30,6,1870,"388,0,442,79"
77,32,6,4661,"112,348,239,431"
78,33,6,1321,"326,131,355,191"
79,34,6,1744,"115,553,154,639"
80,35,6,1784,"461,168,496,228"
81,35,6,346,"516,80,546,91"
82,35,6,2025,"466,105,500,167"
83,36,6,24174,"339,401,478,639"
84,36,6,166,"349,403,594,639"
85,36,6,16358,"523,85,597,422"
86,40,6,999,"202,196,222,260"
87,40,6,3241,"159,123,204,252"
88,43,6,1764,"757,575,792,639"
89,44,6,389,"686,5,708,74"
90,44,6,12778,"701,0,807,208"
91,45,6,1003,"815,0,852,30"
92,45,6,590,"815,7,852,81"
93,45,6,85,"830,32,852,80"
94,46,6,1360,"788,30,837,87"
