id,parent,level,area,bbox
1,,2,97843,"92,106,480,639"
2,,2,0,
3,,2,21551,"284,0,493,213"
4,,2,4880,"489,0,643,38"
5,,2,76316,"0,0,359,330"
6,,2,166571,"0,81,683,639"
7,,2,71402,"639,0,852,639"
28,1,4,61704,"218,108,468,501"
29,1,4,16742,"105,108,468,502"
30,1,4,17785,"93,318,479,639"
31,1,4,8,"118,248,261,351"
32,1,4,171,"458,361,480,459"
33,3,4,11173,"295,9,455,114"
34,3,4,3407,"380,0,486,83"
35,5,4,35291,"0,113,261,328"
36,5,4,39634,"0,0,357,177"
37,5,4,161,"112,112,261,275"
38,6,4,106066,"321,85,652,639"
39,6,4,4618,"270,116,403,232"
40,6,4,498,"493,83,607,222"
41,6,4,33359,"0,300,159,639"
42,6,4,17391,"95,423,306,639"
43,7,4,62730,"743,0,852,639"
44,7,4,7918,"640,0,787,89"
45,7,4,8,"852,503,852,510"
46,7,4,2,"647,8,709,63"
76,29,6,4237,"105,381,225,478"
77,29,6,5818,"115,277,225,479"
78,29,6,25,"115,348,218,431"
79,30,6,2904,"281,533,338,639"
80,30,6,1228,"459,361,479,456"
81,30,6,3038,"94,367,162,536"
82,30,6,30,"139,458,162,536"
83,33,6,761,"295,71,331,106"
84,33,6,4024,"316,18,411,90"
85,34,6,1957,"453,0,486,83"
86,35,6,9239,"59,190,189,317"
87,35,6,2409,"159,177,214,238"
88,35,6,1161,"58,156,97,199"
89,35,6,915,"240,188,261,246"
90,35,6,1192,"159,132,210,177"
91,35,6,3772,"197,114,241,259"
92,35,6,4985,"15,169,79,308"
93,36,6,794,"271,6,323,35"
94,39,6,665,"270,170,287,230"
95,41,6,1642,"111,545,157,639"
96,41,6,565,"4,303,22,347"
97,43,6,356,"821,79,842,121"
98,43,6,3980,"778,504,852,631"
99,43,6,2382,"792,570,852,639"
100,43,6,1292,"810,147,852,211"
101,43,6,121,"797,501,851,579"
102,43,6,914,"788,212,824,262"
103,43,6,1801,"745,0,850,630"
104,44,6,1110,"640,0,667,55"
